filename,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6,spectral_contrast_7
10.mp3,-267.08508,127.49353,8.400689,20.838123,22.413507,4.6869226,3.501557,11.012337,2.530048,-0.56280893,-2.9831102,3.716753,-4.997895,19.954351190952618,18.302301917121707,23.300541444197407,23.686131648834227,23.655241887791313,19.936630988197816,47.3678160627203
1000.mp3,-29.00728,102.69288,-6.246353,28.312904,4.621873,13.930796,-1.9780678,7.338904,-1.1503118,5.5934906,0.7507961,4.2981706,0.73787373,18.75281745883675,14.030307509926013,18.598896388982357,18.782281663480667,18.725682902728213,18.415020217791792,48.769943725405476
1001.mp3,-164.74287,125.44719,-19.984291,19.461418,3.9972315,3.891716,-2.401595,4.7310944,-8.476446,4.8735538,-3.835292,-1.7777137,-0.8144192,19.45799206000408,15.573540128225158,19.67116787635845,20.25297312342572,21.428509047449268,21.733586033328443,47.59622239905165
1002.mp3,-331.60928,116.73684,32.26162,38.52866,23.335499,14.106022,9.018618,9.177715,0.55933344,6.023265,-1.3545293,2.4228818,0.2511671,21.503293816820285,19.252083047559978,20.678415604402268,19.686189519693176,21.061722076899827,21.769578197291956,48.84104586393718
1003.mp3,-291.96054,87.938934,12.080688,25.716293,-13.545895,-4.2592278,-3.1283398,-5.271181,-2.7545033,-0.75391656,3.8283317,0.22400585,-5.318697,17.938870604745084,18.941791597572593,22.033109113701034,21.010444519872028,18.758673363391203,18.03597150089993,47.41786942140228
1004.mp3,-138.38324,126.29771,-29.608868,45.768658,-17.60585,7.8049965,-8.182133,1.7000321,-5.894569,3.1837065,-5.7182446,-12.118001,-10.057914,21.051511398498924,16.172811397836792,18.657158365773565,19.69091927880296,17.946053392081815,18.39836104007872,50.27077795045604
1005.mp3,-153.15617,113.900055,-8.635137,36.028397,-0.5501754,15.307123,-3.9124014,4.9693346,-7.340966,6.4069576,-4.437977,3.1330283,-1.9319522,18.25438749303828,13.411189965113065,16.27740538448062,17.91887854188561,18.175078282965604,19.023229304287067,51.973516343817174
1006.mp3,-252.96255,83.188286,11.835511,21.022657,-10.433764,-4.8365016,-3.6106825,-10.045252,-11.080306,3.156587,-13.46972,-3.8784993,-9.933352,20.936736978216192,16.179314790146883,20.671362440017877,20.374023567668686,19.967346533859384,20.161015356514223,51.0071149244666
1007.mp3,-231.89905,80.889244,6.905297,27.507694,0.29375428,0.36823514,-3.6866167,-1.6932095,-10.719703,4.0927186,-11.229222,-0.464841,-9.196733,20.668058178292625,15.12173455823557,19.65207083847034,17.722037980515683,17.637103384125705,17.7870693532947,49.309970566820525
1008.mp3,-216.19173,122.82346,-16.073704,21.796284,9.095706,5.3083735,-13.68317,7.6583176,-12.305617,-3.7722185,-7.6860576,-8.2674265,-2.2603838,19.586494255834406,15.861481571111227,18.914714473830664,19.657857258923666,20.708957360745533,20.689328162559907,50.37441934415777
1009.mp3,-279.3035,170.66696,-52.919888,39.280533,1.1301237,-5.2194867,3.6751583,-8.571191,2.874828,-8.235978,-2.4241965,-0.7061558,-8.422147,17.313798193095124,18.47473768991168,20.57044717081647,19.643213708562236,20.277966559920966,26.40203418733681,46.629940820972834
101.mp3,-400.2022,122.38466,10.509914,11.068236,0.6068365,-15.464268,-0.18872108,-10.90977,-16.71065,-13.252549,-18.584782,-16.185751,-21.476728,25.016753993585155,21.473528339167093,26.27634587960477,24.31198860421483,22.456027311098612,25.190047143256542,51.94616944580296
1010.mp3,-235.19171,86.94468,-22.503801,5.7893248,-0.20866732,-3.2488098,-4.8152623,-1.0915155,-7.515626,1.969246,-4.301976,-2.7869055,-1.7224845,18.675404733202093,14.513878520659373,17.078723362225563,17.984046216986474,18.387141857459806,18.949978826067188,49.20094828259011
1011.mp3,-364.40143,131.68639,9.841624,20.069965,11.50531,9.289975,0.939234,-5.761451,-8.732611,-15.14046,-11.847881,-5.7997665,-9.851083,19.3503713344312,17.75575967161584,19.46984268286066,18.51686446895132,18.946496902217646,18.406499475354522,46.745883424852046
1012.mp3,-285.74628,175.67444,-22.010633,39.666622,39.053734,6.0794983,-4.3133626,6.80758,11.758752,7.505353,6.7069325,-4.047043,-14.476876,19.723726416025013,18.588322029276878,18.393931614274063,18.238048377086802,19.906525760771387,20.10776152702512,45.74075578564364
1013.mp3,-285.4034,202.82281,-31.170855,41.1178,21.509409,-17.95244,-2.5146432,-9.258935,-6.5985427,6.577212,-1.9325436,-4.805315,-9.723634,23.614721488348227,16.88584597351778,20.00488089773668,20.32987256585023,22.47916769497871,26.941836986621205,45.40181649101335
1014.mp3,-204.65576,132.03342,20.653028,28.785654,-11.31984,20.539951,6.5357065,6.9939923,1.9261597,-2.7754035,-8.892325,-4.1208262,5.1278977,19.256146596363305,17.100711817763727,20.654203485195453,23.70196445648674,23.488536906454097,22.945647848997837,52.1423448841053
1015.mp3,-127.11032,92.751495,-31.772419,18.33909,0.23898837,5.847827,-4.951711,1.7494229,-7.267492,1.6536034,-0.22410664,1.5695167,-4.5358744,15.781862712697718,13.563493480635694,16.60984146428597,15.94249269559487,17.00994480430706,16.934902917407694,47.909074939961215
